candidate_event_id,session_id,user_id,is_anomaly,scene_type,scene_hint,expected_risk,start_time,object_domain
U0001_S00000001,S00000001,U0001,0,normal,正常业务会话,low,2026-04-20 16:06:23,人口
U0001_S00000002,S00000002,U0001,0,normal,正常业务会话,low,2026-04-20 08:14:02,人口
U0001_S00000003,S00000003,U0001,1,new_device_export,新设备登录后高敏批量导出,high,2026-04-20 21:43:34,涉案财产
U0002_S00000004,S00000004,U0002,0,normal,正常业务会话,low,2026-04-20 17:50:56,车辆
U0002_S00000005,S00000005,U0002,0,normal,正常业务会话,low,2026-04-20 13:01:29,车辆
U0002_S00000006,S00000006,U0002,0,normal,正常业务会话,low,2026-04-20 12:45:26,车辆
U0002_S00000007,S00000007,U0002,0,normal,正常业务会话,low,2026-04-20 10:44:54,人口
U0003_S00000008,S00000008,U0003,1,usb_copy_delete,高敏数据导出后拷贝到未备案 USB 并删除痕迹,high,2026-04-20 02:34:06,通信
U0003_S00000009,S00000009,U0003,1,new_device_export,新设备登录后高敏批量导出,high,2026-04-20 22:34:49,通信
U0003_S00000010,S00000010,U0003,0,normal,正常业务会话,low,2026-04-20 14:13:30,系统
U0003_S00000011,S00000011,U0003,0,normal,正常业务会话,low,2026-04-20 10:46:10,系统
U0004_S00000012,S00000012,U0004,0,normal,正常业务会话,low,2026-04-20 15:55:12,系统
U0004_S00000013,S00000013,U0004,0,normal,正常业务会话,low,2026-04-20 17:01:55,认证域
U0004_S00000014,S00000014,U0004,0,normal,正常业务会话,low,2026-04-20 12:12:17,系统
U0004_S00000015,S00000015,U0004,0,normal,正常业务会话,low,2026-04-20 17:34:51,认证域
U0005_S00000016,S00000016,U0005,0,normal,正常业务会话,low,2026-04-20 11:45:41,人口
U0005_S00000017,S00000017,U0005,1,screenshot_send_copy,敏感页面截图后外发并拷贝,high,2026-04-20 22:25:21,涉案财产
