candidate_event_id,session_id,user_id,is_anomaly,scene_type,scene_hint,expected_risk,start_time,object_domain
U0001_S00000001,S00000001,U0001,0,normal,正常业务会话,low,2026-04-20 08:29:56,案件
U0001_S00000002,S00000002,U0001,1,new_device_export,新设备登录后高敏批量导出,high,2026-04-20 12:52:13,涉案财产
U0001_S00000003,S00000003,U0001,1,usb_copy_delete,高敏数据导出后拷贝到未备案 USB 并删除痕迹,high,2026-04-20 01:29:51,涉案财产
U0002_S00000004,S00000004,U0002,1,offhour_query_export_delete,非工作时段高敏查询、批量导出、落地后清痕,high,2026-04-20 01:03:12,通信
U0002_S00000005,S00000005,U0002,0,normal,正常业务会话,low,2026-04-20 10:39:28,案件
U0002_S00000006,S00000006,U0002,1,test_env_unmasked_keep,未脱敏数据同步到测试环境并长期保留,high,2026-04-20 21:11:42,涉案财产
U0002_S00000007,S00000007,U0002,1,offhour_query_export_delete,非工作时段高敏查询、批量导出、落地后清痕,high,2026-04-20 22:05:32,案件
U0003_S00000008,S00000008,U0003,0,normal,正常业务会话,low,2026-04-20 16:23:00,系统
U0003_S00000009,S00000009,U0003,1,cross_dept_query_export,跨部门高频查询后导出,high,2026-04-20 22:22:48,通信
U0004_S00000010,S00000010,U0004,0,normal,正常业务会话,low,2026-04-20 11:33:39,认证域
U0004_S00000011,S00000011,U0004,1,cross_dept_query_export,跨部门高频查询后导出,high,2026-04-20 22:14:24,涉案财产
